 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).

mms4
       Time                   GSE (RE)               gseLT 
yyyy ddd hh:mm:ss      X          Y          Z     hh:mm:ss

2018  33 00:00:30      17.90     -10.21       5.52 10:01:11
2018  33 00:01:30      17.91     -10.21       5.52 10:01:14
2018  33 00:02:30      17.91     -10.21       5.52 10:01:17
2018  33 00:03:30      17.92     -10.21       5.53 10:01:20
2018  33 00:04:30      17.93     -10.21       5.53 10:01:24
2018  33 00:05:30      17.94     -10.21       5.53 10:01:27
2018  33 00:06:30      17.95     -10.21       5.54 10:01:30
2018  33 00:07:30      17.96     -10.21       5.54 10:01:33
2018  33 00:08:30      17.97     -10.21       5.54 10:01:37
2018  33 00:09:30      17.98     -10.21       5.54 10:01:40
2018  33 00:10:30      17.99     -10.21       5.55 10:01:43
2018  33 00:11:30      18.00     -10.21       5.55 10:01:46
2018  33 00:12:30      18.01     -10.21       5.55 10:01:50
2018  33 00:13:30      18.02     -10.21       5.56 10:01:53
2018  33 00:14:30      18.03     -10.21       5.56 10:01:56
2018  33 00:15:30      18.04     -10.20       5.56 10:02:00
2018  33 00:16:30      18.04     -10.20       5.57 10:02:03
2018  33 00:17:30      18.05     -10.20       5.57 10:02:06
2018  33 00:18:30      18.06     -10.20       5.57 10:02:09
2018  33 00:19:30      18.07     -10.20       5.57 10:02:12
2018  33 00:20:30      18.08     -10.20       5.58 10:02:16
2018  33 00:21:30      18.09     -10.20       5.58 10:02:19
2018  33 00:22:30      18.10     -10.20       5.58 10:02:22
2018  33 00:23:30      18.11     -10.20       5.59 10:02:25
2018  33 00:24:30      18.12     -10.20       5.59 10:02:28
2018  33 00:25:30      18.13     -10.20       5.59 10:02:32
2018  33 00:26:30      18.14     -10.20       5.60 10:02:35
2018  33 00:27:30      18.15     -10.20       5.60 10:02:38
2018  33 00:28:30      18.15     -10.20       5.60 10:02:41
2018  33 00:29:30      18.16     -10.20       5.60 10:02:45
2018  33 00:30:30      18.17     -10.20       5.61 10:02:48
2018  33 00:31:30      18.18     -10.20       5.61 10:02:51
2018  33 00:32:30      18.19     -10.20       5.61 10:02:54
2018  33 00:33:30      18.20     -10.20       5.62 10:02:57
2018  33 00:34:30      18.21     -10.20       5.62 10:03:01
2018  33 00:35:30      18.22     -10.20       5.62 10:03:04
2018  33 00:36:30      18.23     -10.20       5.63 10:03:07
2018  33 00:37:30      18.24     -10.19       5.63 10:03:10
2018  33 00:38:30      18.24     -10.19       5.63 10:03:13
2018  33 00:39:30      18.25     -10.19       5.63 10:03:16
2018  33 00:40:30      18.26     -10.19       5.64 10:03:20
2018  33 00:41:30      18.27     -10.19       5.64 10:03:23
2018  33 00:42:30      18.28     -10.19       5.64 10:03:26
2018  33 00:43:30      18.29     -10.19       5.65 10:03:29
2018  33 00:44:30      18.30     -10.19       5.65 10:03:32
2018  33 00:45:30      18.31     -10.19       5.65 10:03:36
2018  33 00:46:30      18.32     -10.19       5.65 10:03:39
2018  33 00:47:30      18.32     -10.19       5.66 10:03:42
2018  33 00:48:30      18.33     -10.19       5.66 10:03:45
2018  33 00:49:30      18.34     -10.19       5.66 10:03:48
2018  33 00:50:30      18.35     -10.19       5.67 10:03:51
2018  33 00:51:30      18.36     -10.19       5.67 10:03:54
2018  33 00:52:30      18.37     -10.19       5.67 10:03:58
2018  33 00:53:30      18.38     -10.19       5.68 10:04:01
2018  33 00:54:30      18.39     -10.19       5.68 10:04:04
2018  33 00:55:30      18.40     -10.18       5.68 10:04:07
2018  33 00:56:30      18.40     -10.18       5.68 10:04:10
2018  33 00:57:30      18.41     -10.18       5.69 10:04:13
